62,95
72,129
3,248
6,366
49,471
79,525
41,634
54,736
14,886
4,909
190,76
178,181
196,229
196,362
123,456
101,572
163,656
147,775
183,841
197,926
265,24
281,105
266,205
200,375
240,452
282,547
296,675
220,777
226,838
286,918
346,42
399,175
315,259
334,338
388,483
308,521
326,637
307,779
370,899
349,935
487,69
469,101
423,264
458,301
470,412
497,565
411,646
474,740
426,849
448,903
571,51
565,190
588,279
582,333
512,419
573,570
549,605
517,737
540,834
546,916
635,8
630,184
670,233
692,383
664,420
687,563
659,684
613,778
699,857
657,923
780,91
734,123
786,201
788,322
746,465
780,574
726,613
714,709
705,886
765,903
834,37
891,162
875,246
876,333
817,492
805,565
833,658
850,702
868,895
813,958
970,39
941,138
922,293
983,313
900,448
967,525
923,607
982,766
998,824
967,947
